Country,Region,Type (Oil/Gas),Production Source,Segment (Up/Down),Abatement Technology,Abatement Potential,Abatement Cost
Tunisia,Africa,Gas,Onshore conventional gas,Upstream,Vapour recovery units,0.04,2.34
Syria,Middle East,Gas,Downstream gas,Downstream,Vapour recovery units,0.01,2.35
Ghana,Africa,Gas,Downstream gas,Downstream,Vapour recovery units,0,2.35
Iraq,Middle East,Gas,Downstream gas,Downstream,Vapour recovery units,0.01,2.35
Iran,Middle East,Gas,Downstream gas,Downstream,Vapour recovery units,0.33,2.35
Bolivia,Central and South America,Gas,Downstream gas,Downstream,Vapour recovery units,0.01,2.35
Brunei,Asia Pacific,Oil,Onshore conventional oil,Upstream,Replace with electric motor,2.02,2.36
Korea,Asia Pacific,Oil,Offshore oil,Upstream,Install flares,0.04,2.38
Kuwait,Middle East,Gas,Downstream gas,Downstream,Downstream LDAR,6,2.39
Lebanon,Middle East,Oil,Downstream oil,Downstream,Downstream LDAR,0.01,2.39
Kuwait,Middle East,Oil,Downstream oil,Downstream,Downstream LDAR,0.02,2.39
Jordan,Middle East,Gas,Downstream gas,Downstream,Downstream LDAR,3.81,2.39
Jordan,Middle East,Oil,Downstream oil,Downstream,Downstream LDAR,0.01,2.39
Iran,Middle East,Oil,Downstream oil,Downstream,Downstream LDAR,0.09,2.39
Iran,Middle East,Gas,Downstream gas,Downstream,Downstream LDAR,68.48,2.39
Iraq,Middle East,Gas,Downstream gas,Downstream,Downstream LDAR,2.22,2.39
Iraq,Middle East,Oil,Downstream oil,Downstream,Downstream LDAR,0.03,2.39
Bahrain,Middle East,Oil,Downstream oil,Downstream,Downstream LDAR,0,2.39
Bahrain,Middle East,Gas,Downstream gas,Downstream,Downstream LDAR,3.27,2.39
Canada,North America,Gas,Onshore conventional gas,Upstream,Upstream LDAR,8.75,2.39
Canada,North America,Gas,Unconventional gas,Upstream,Upstream LDAR,39.74,2.39
Canada,North America,Oil,Onshore conventional oil,Upstream,Upstream LDAR,9.99,2.39
Canada,North America,Oil,Unconventional oil,Upstream,Upstream LDAR,1.27,2.39
Syria,Middle East,Gas,Downstream gas,Downstream,Downstream LDAR,2.11,2.39
Syria,Middle East,Oil,Downstream oil,Downstream,Downstream LDAR,0.01,2.39
Saudi Arabia,Middle East,Gas,Downstream gas,Downstream,Downstream LDAR,18.4,2.39
Saudi Arabia,Middle East,Oil,Downstream oil,Downstream,Downstream LDAR,0.09,2.39
Qatar,Middle East,Oil,Downstream oil,Downstream,Downstream LDAR,0.01,2.39
Qatar,Middle East,Gas,Downstream gas,Downstream,Downstream LDAR,8.69,2.39
Oman,Middle East,Gas,Downstream gas,Downstream,Downstream LDAR,6.88,2.39
Oman,Middle East,Oil,Downstream oil,Downstream,Downstream LDAR,0.01,2.39
United Arab Emirates,Middle East,Oil,Downstream oil,Downstream,Downstream LDAR,0.02,2.39
United Arab Emirates,Middle East,Gas,Downstream gas,Downstream,Downstream LDAR,13.08,2.39
Yemen,Middle East,Oil,Downstream oil,Downstream,Downstream LDAR,0,2.39
Yemen,Middle East,Gas,Downstream gas,Downstream,Downstream LDAR,0.18,2.39
Algeria,Africa,Gas,Downstream gas,Downstream,Vapour recovery units,0.55,2.46
Sweden,Europe,Gas,Offshore gas,Upstream,Vapour recovery units,0.02,2.49
United States,North America,Oil,Onshore conventional oil,Upstream,Other,12.93,2.49
Senegal,Africa,Gas,Onshore conventional gas,Upstream,Vapour recovery units,0,2.5
Senegal,Africa,Gas,Offshore gas,Upstream,Vapour recovery units,0,2.5
Senegal,Africa,Gas,Unconventional gas,Upstream,Vapour recovery units,0,2.5
Morocco,North Africa,Oil,Offshore oil,Upstream,Replace compressor seal or rod,0.11,2.51
Ukraine,Europe,Oil,Onshore conventional oil,Upstream,Replace with electric motor,2.18,2.5300000000000000
Germany,Europe,Gas,Onshore conventional gas,Upstream,Vapour recovery units,0.09,2.54
Germany,Europe,Gas,Unconventional gas,Upstream,Vapour recovery units,0.04,2.54
Israel,Europe,Gas,Downstream gas,Downstream,Vapour recovery units,0.04,2.56
Angola,Africa,Gas,Onshore conventional gas,Upstream,Replace with electric motor,2.45,2.59
Tunisia,Africa,Gas,Downstream gas,Downstream,Vapour recovery units,0.01,2.59
Morocco,North Africa,Oil,Offshore oil,Upstream,Replace with electric motor,0.32,2.61
Mexico,North America,Gas,Onshore conventional gas,Upstream,Replace with electric motor,16.7,2.62
Mexico,North America,Gas,Unconventional gas,Upstream,Replace with electric motor,0.15,2.62
Japan,Asia Pacific,Oil,Downstream oil,Downstream,Downstream LDAR,0.08,2.62
Japan,Asia Pacific,Gas,Downstream gas,Downstream,Downstream LDAR,15.22,2.62
Oman,Middle East,Gas,Downstream gas,Downstream,Vapour recovery units,0.19,2.62
New Zealand,Asia Pacific,Gas,Downstream gas,Downstream,Downstream LDAR,1.06,2.62
New Zealand,Asia Pacific,Oil,Downstream oil,Downstream,Downstream LDAR,0,2.62
Trinidad and Tobago,Central and South America,Gas,Onshore conventional gas,Upstream,Vapour recovery units,0.03,2.62
Bahrain,Middle East,Gas,Onshore conventional gas,Upstream,Vapour recovery units,0.6,2.66
Russia,Russia & Caspian,Gas,Unconventional gas,Upstream,Upstream LDAR,4.18,2.7
Russia,Russia & Caspian,Oil,Onshore conventional oil,Upstream,Upstream LDAR,33.7,2.7
Russia,Russia & Caspian,Gas,Onshore conventional gas,Upstream,Upstream LDAR,115.74,2.7
Other EU17 countries,Europe,Gas,Unconventional gas,Upstream,Install flares,0,2.71
Canada,North America,Gas,Unconventional gas,Upstream,Install flares,1.34,2.71
United Kingdom,Europe,Gas,Unconventional gas,Upstream,Install flares,0,2.71
Egypt,Africa,Gas,Downstream gas,Downstream,Downstream LDAR,19.13,2.75
Egypt,Africa,Oil,Downstream oil,Downstream,Downstream LDAR,0.04,2.75
Algeria,Africa,Gas,Downstream gas,Downstream,Downstream LDAR,19.62,2.75
Algeria,Africa,Oil,Downstream oil,Downstream,Downstream LDAR,0.03,2.75
Libya,Africa,Gas,Downstream gas,Downstream,Downstream LDAR,4.18,2.75
Morocco,North Africa,Gas,Downstream gas,Downstream,Downstream LDAR,0.35,2.75
Libya,Africa,Oil,Downstream oil,Downstream,Downstream LDAR,0.01,2.75
Morocco,North Africa,Oil,Downstream oil,Downstream,Downstream LDAR,0.01,2.75
Tunisia,Africa,Gas,Downstream gas,Downstream,Downstream LDAR,1.81,2.75
Tunisia,Africa,Oil,Downstream oil,Downstream,Downstream LDAR,0,2.75
Germany,Europe,Gas,Unconventional gas,Upstream,Install flares,0.01,2.76
Germany,Europe,Gas,Offshore gas,Upstream,Upstream LDAR,0,2.76
Germany,Europe,Oil,Offshore oil,Upstream,Upstream LDAR,0.05,2.76
France,Europe,Gas,Unconventional gas,Upstream,Install flares,0,2.76
Poland,Europe,Gas,Unconventional gas,Upstream,Install flares,0,2.76
Romania,Europe,Gas,Unconventional gas,Upstream,Install flares,0,2.76
Ukraine,Europe,Gas,Unconventional gas,Upstream,Install flares,0,2.76
United Arab Emirates,Middle East,Gas,Downstream gas,Downstream,Vapour recovery units,0.37,2.76
Sweden,Europe,Gas,Downstream gas,Downstream,Vapour recovery units,0,2.7800000000000000
India,Asia Pacific,Oil,Onshore conventional oil,Upstream,Replace with electric motor,106.39,2.7800000000000000
Israel,Europe,Oil,Downstream oil,Downstream,Downstream LDAR,0.01,2.79
Israel,Europe,Gas,Downstream gas,Downstream,Downstream LDAR,1.83,2.79
Argentina,Central and South America,Gas,Downstream gas,Downstream,Downstream LDAR,23.28,2.79
Argentina,Central and South America,Oil,Downstream oil,Downstream,Downstream LDAR,0.05,2.79
Bolivia,Central and South America,Gas,Downstream gas,Downstream,Downstream LDAR,2.2,2.79
Bolivia,Central and South America,Oil,Downstream oil,Downstream,Downstream LDAR,0.01,2.79
Ecuador,Central and South America,Oil,Downstream oil,Downstream,Downstream LDAR,0.01,2.79
Cuba,Central and South America,Gas,Downstream gas,Downstream,Downstream LDAR,0.42,2.79
Cuba,Central and South America,Oil,Downstream oil,Downstream,Downstream LDAR,0.01,2.79
Ecuador,Central and South America,Gas,Downstream gas,Downstream,Downstream LDAR,0.25,2.79
Colombia,Central and South America,Oil,Downstream oil,Downstream,Downstream LDAR,0.02,2.79
Colombia,Central and South America,Gas,Downstream gas,Downstream,Downstream LDAR,4.12,2.79
Trinidad and Tobago,Central and South America,Oil,Downstream oil,Downstream,Downstream LDAR,0,2.79
Trinidad and Tobago,Central and South America,Gas,Downstream gas,Downstream,Downstream LDAR,5.15,2.79
Peru,Central and South America,Oil,Downstream oil,Downstream,Downstream LDAR,0.01,2.79
Peru,Central and South America,Gas,Downstream gas,Downstream,Downstream LDAR,2.2800000000000000,2.79
Paraguay,Latin America,Oil,Downstream oil,Downstream,Downstream LDAR,0,2.79
Uruguay,Latin America,Oil,Downstream oil,Downstream,Downstream LDAR,0,2.79
Uruguay,Latin America,Gas,Downstream gas,Downstream,Downstream LDAR,0.01,2.79
Venezuela,Central and South America,Oil,Downstream oil,Downstream,Downstream LDAR,0.07,2.79
Venezuela,Central and South America,Gas,Downstream gas,Downstream,Downstream LDAR,18.42,2.79
Qatar,Middle East,Gas,Downstream gas,Downstream,Vapour recovery units,0.25,2.8
South Africa,Africa,Gas,Offshore gas,Upstream,Replace with electric motor,20.81,2.81
Norway,Europe,Oil,Downstream oil,Downstream,Downstream LDAR,0,2.83
Norway,Europe,Gas,Downstream gas,Downstream,Downstream LDAR,0.08,2.83
Germany,Europe,Gas,Downstream gas,Downstream,Vapour recovery units,0.06,2.83
Kuwait,Middle East,Oil,Satellite - downstream,Downstream,Downstream LDAR,0.32,2.83
Peru,Central and South America,Gas,Downstream gas,Downstream,Vapour recovery units,0.05,2.84
Iraq,Middle East,Oil,Satellite - downstream,Downstream,Downstream LDAR,0.32,2.85
Canada,North America,Gas,Offshore gas,Upstream,Upstream LDAR,0.02,2.85
Mexico,North America,Oil,Downstream oil,Downstream,Downstream LDAR,0.07,2.87
Mexico,North America,Gas,Downstream gas,Downstream,Downstream LDAR,25.79,2.87
Morocco,North Africa,Gas,Unconventional gas,Upstream,Vapour recovery units,0,2.88
Morocco,North Africa,Gas,Onshore conventional gas,Upstream,Vapour recovery units,0,2.88
Morocco,North Africa,Gas,Offshore gas,Upstream,Vapour recovery units,0.04,2.88
Angola,Africa,Oil,Onshore conventional oil,Upstream,Vapour recovery units,0.49,2.89
Angola,Africa,Oil,Downstream oil,Downstream,Vapour recovery units,0.03,2.89
Angola,Africa,Oil,Downstream oil,Downstream,Downstream LDAR,0.01,2.92
Angola,Africa,Gas,Downstream gas,Downstream,Downstream LDAR,0.39,2.92
Benin,Africa,Oil,Downstream oil,Downstream,Downstream LDAR,0,2.92
Benin,Africa,Gas,Downstream gas,Downstream,Downstream LDAR,0.01,2.92
Cameroon,Africa,Gas,Downstream gas,Downstream,Downstream LDAR,0.29,2.92
Botswana,Africa,Oil,Downstream oil,Downstream,Downstream LDAR,0,2.92
Cameroon,Africa,Oil,Downstream oil,Downstream,Downstream LDAR,0,2.92
Congo,Africa,Oil,Downstream oil,Downstream,Downstream LDAR,0,2.92
Congo,Africa,Gas,Downstream gas,Downstream,Downstream LDAR,0.3,2.92
Cote d'Ivoire,Africa,Gas,Downstream gas,Downstream,Downstream LDAR,0.86,2.92
Democratic Republic of Congo,Africa,Oil,Downstream oil,Downstream,Downstream LDAR,0,2.92
Cote d'Ivoire,Africa,Oil,Downstream oil,Downstream,Downstream LDAR,0,2.92
Equatorial Guinea,Africa,Gas,Downstream gas,Downstream,Downstream LDAR,1.17,2.92
Eritrea,Africa,Oil,Downstream oil,Downstream,Downstream LDAR,0,2.92
Mozambique,Africa,Gas,Downstream gas,Downstream,Downstream LDAR,0.36,2.92
Mozambique,Africa,Oil,Downstream oil,Downstream,Downstream LDAR,0,2.92
Namibia,Africa,Oil,Downstream oil,Downstream,Downstream LDAR,0,2.92
Kenya,Africa,Oil,Downstream oil,Downstream,Downstream LDAR,0.01,2.92
Ghana,Africa,Gas,Downstream gas,Downstream,Downstream LDAR,0.4,2.92
Ghana,Africa,Oil,Downstream oil,Downstream,Downstream LDAR,0,2.92
Ethiopia,Africa,Oil,Downstream oil,Downstream,Downstream LDAR,0,2.92
Gabon,Africa,Gas,Downstream gas,Downstream,Downstream LDAR,0.21,2.92
Gabon,Africa,Oil,Downstream oil,Downstream,Downstream LDAR,0,2.92
South Sudan,Africa,Oil,Downstream oil,Downstream,Downstream LDAR,0,2.92
Senegal,Africa,Oil,Downstream oil,Downstream,Downstream LDAR,0,2.92
Senegal,Africa,Gas,Downstream gas,Downstream,Downstream LDAR,0.01,2.92
Nigeria,Africa,Oil,Downstream oil,Downstream,Downstream LDAR,0.05,2.92
Nigeria,Africa,Gas,Downstream gas,Downstream,Downstream LDAR,14.22,2.92
Niger,Africa,Oil,Downstream oil,Downstream,Downstream LDAR,0,2.92
Togo,Africa,Oil,Downstream oil,Downstream,Downstream LDAR,0,2.92
Togo,Africa,Gas,Downstream gas,Downstream,Downstream LDAR,0.02,2.92
Sudan,Africa,Oil,Downstream oil,Downstream,Downstream LDAR,0.01,2.92
Tanzania,Africa,Oil,Downstream oil,Downstream,Downstream LDAR,0,2.92
Tanzania,Africa,Gas,Downstream gas,Downstream,Downstream LDAR,0.31,2.92
Bahrain,Middle East,Gas,Downstream gas,Downstream,Vapour recovery units,0.02,2.93
Denmark,Europe,Gas,Downstream gas,Downstream,Vapour recovery units,0,2.9700000000000000
Australia,Asia Pacific,Gas,Unconventional gas,Upstream,Install flares,0.21,2.98
India,Asia Pacific,Gas,Unconventional gas,Upstream,Install flares,0.03,2.98
Mexico,North America,Gas,Unconventional gas,Upstream,Install flares,0,2.98
Oman,Middle East,Gas,Unconventional gas,Upstream,Install flares,0.18,2.98
Other countries in Europe,Europe,Gas,Unconventional gas,Upstream,Install flares,0,2.98
Russia,Russia & Caspian,Gas,Unconventional gas,Upstream,Install flares,0.21,2.98
Saudi Arabia,Middle East,Gas,Unconventional gas,Upstream,Install flares,0.04,2.98
Uzbekistan,Russia & Caspian,Oil,Onshore conventional oil,Upstream,Replace with electric motor,34.67,3.02
China,Asia Pacific,Gas,Unconventional gas,Upstream,Install flares,0.73,3.03
Niger,Africa,Oil,Unconventional oil,Upstream,Early replacement of devices,0.12,3.05
Niger,Africa,Oil,Onshore conventional oil,Upstream,Early replacement of devices,0.12,3.05
Niger,Africa,Gas,Offshore gas,Upstream,Early replacement of devices,0.12,3.05
Egypt,Africa,Gas,Downstream gas,Downstream,Vapour recovery units,0.54,3.06
Jordan,Middle East,Oil,Offshore oil,Upstream,Early replacement of devices,0.07,3.09
Jordan,Middle East,Gas,Offshore gas,Upstream,Early replacement of devices,0.06,3.09
Jordan,Middle East,Oil,Unconventional oil,Upstream,Early replacement of devices,0.06,3.09
Jordan,Middle East,Oil,Onshore conventional oil,Upstream,Early replacement of devices,0.06,3.09
Other,Asia Pacific,Oil,Onshore conventional oil,Upstream,Replace with electric motor,53.6,3.09
South Africa,Africa,Oil,Unconventional oil,Upstream,Replace with electric motor,19.64,3.11
South Africa,Africa,Oil,Onshore conventional oil,Upstream,Replace with electric motor,19.64,3.11
Indonesia,Asia Pacific,Gas,Unconventional gas,Upstream,Install flares,0,3.11
Turkmenistan,Russia & Caspian,Oil,Onshore conventional oil,Upstream,Other,3.02,3.11
Australia,Asia Pacific,Oil,Satellite - downstream,Downstream,Downstream LDAR,0.24,3.12
Denmark,Europe,Gas,Offshore gas,Upstream,Upstream LDAR,0.14,3.14
Denmark,Europe,Oil,Offshore oil,Upstream,Upstream LDAR,0.12,3.14
Morocco,North Africa,Gas,Downstream gas,Downstream,Vapour recovery units,0,3.15
Canada,North America,Gas,Onshore conventional gas,Upstream,Replace with electric motor,36.01,3.16
Canada,North America,Gas,Unconventional gas,Upstream,Replace with electric motor,160.18,3.16
Mexico,North America,Oil,Downstream oil,Downstream,Vapour recovery units,0.22,3.17
Mexico,North America,Oil,Onshore conventional oil,Upstream,Vapour recovery units,6.52,3.17
Yemen,Middle East,Gas,Downstream gas,Downstream,Vapour recovery units,0.01,3.17
Germany,Europe,Oil,Onshore conventional oil,Upstream,Upstream LDAR,0.03,3.19
Germany,Europe,Gas,Onshore conventional gas,Upstream,Upstream LDAR,0.38,3.19
Germany,Europe,Gas,Unconventional gas,Upstream,Upstream LDAR,0.19,3.19
Mozambique,Africa,Oil,Onshore conventional oil,Upstream,Replace with electric motor,0.13,3.24
Egypt,Africa,Gas,Unconventional gas,Upstream,Install flares,0.02,3.25
Algeria,Africa,Gas,Unconventional gas,Upstream,Install flares,0.03,3.25
Argentina,Central and South America,Gas,Unconventional gas,Upstream,Install flares,0.53,3.25
Pakistan,Asia Pacific,Gas,Unconventional gas,Upstream,Install flares,0.02,3.25
Argentina,Central and South America,Gas,Downstream gas,Downstream,Vapour recovery units,0.49,3.26
Pakistan,Asia Pacific,Gas,Downstream gas,Downstream,Vapour recovery units,0.66,3.27
Poland,Europe,Oil,Onshore conventional oil,Upstream,Replace with electric motor,1.6400000000000000,3.27
United Kingdom,Europe,Gas,Downstream gas,Downstream,Vapour recovery units,0.16,3.27
Italy,Europe,Gas,Downstream gas,Downstream,Vapour recovery units,0.39,3.2800000000000000
Other EU17 countries,Europe,Gas,Downstream gas,Downstream,Vapour recovery units,0.66,3.29
Other EU7 countries,Europe,Gas,Downstream gas,Downstream,Vapour recovery units,0.03,3.29
Other countries in Europe,Europe,Oil,Onshore conventional oil,Upstream,Replace with electric motor,11.9,3.29
Nigeria,Africa,Gas,Onshore conventional gas,Upstream,Vapour recovery units,1.8600000000000000,3.29
Norway,Europe,Gas,Downstream gas,Downstream,Vapour recovery units,0,3.3
United States,North America,Oil,Unconventional oil,Upstream,Upstream LDAR,31.11,3.31
United States,North America,Oil,Onshore conventional oil,Upstream,Upstream LDAR,15.26,3.31
United States,North America,Gas,Unconventional gas,Upstream,Upstream LDAR,249.2,3.31
United States,North America,Gas,Onshore conventional gas,Upstream,Upstream LDAR,14.34,3.31
Algeria,Africa,Oil,Onshore conventional oil,Upstream,Replace with electric motor,631.7,3.32
Canada,North America,Oil,Downstream oil,Downstream,Downstream LDAR,0.15,3.34
Canada,North America,Gas,Downstream gas,Downstream,Downstream LDAR,59.91,3.34
Congo,Africa,Oil,Onshore conventional oil,Upstream,Replace with electric motor,7.36,3.37
Equatorial Guinea,Africa,Gas,Downstream gas,Downstream,Vapour recovery units,0.03,3.37
Libya,Africa,Gas,Downstream gas,Downstream,Vapour recovery units,0.12,3.37
Saudi Arabia,Middle East,Oil,Onshore conventional oil,Upstream,Replace with electric motor,784.94,3.37
United States,North America,Gas,Onshore conventional gas,Upstream,Replace with electric motor,59.04,3.38
United States,North America,Gas,Unconventional gas,Upstream,Replace with electric motor,982.74,3.38
Oman,Middle East,Oil,Onshore conventional oil,Upstream,Replace with electric motor,205.94,3.39
Iran,Middle East,Oil,Onshore conventional oil,Upstream,Other,59.84,3.41
Cuba,Central and South America,Oil,Onshore conventional oil,Upstream,Replace with electric motor,3.86,3.43
Chad,Africa,Oil,Onshore conventional oil,Upstream,Replace with electric motor,21.91,3.46
Indonesia,Asia Pacific,Gas,Downstream gas,Downstream,Downstream LDAR,16.98,3.4700000000000000
Indonesia,Asia Pacific,Oil,Downstream oil,Downstream,Downstream LDAR,0.1,3.4700000000000000
United Arab Emirates,Middle East,Oil,Onshore conventional oil,Upstream,Replace with electric motor,273.38,3.48
Qatar,Middle East,Oil,Onshore conventional oil,Upstream,Replace with electric motor,133.41,3.5
Gabon,Africa,Oil,Onshore conventional oil,Upstream,Replace with electric motor,44.43,3.57
New Zealand,Asia Pacific,Oil,Onshore conventional oil,Upstream,Replace with electric motor,1.26,3.58
Morocco,North Africa,Gas,Offshore gas,Upstream,Install flares,0.11,3.59
Kuwait,Middle East,Gas,Onshore conventional gas,Upstream,Replace with electric motor,14.79,3.6
Other,Asia Pacific,Gas,Downstream gas,Downstream,Downstream LDAR,13.71,3.6
Other,Asia Pacific,Oil,Downstream oil,Downstream,Downstream LDAR,0.11,3.6
Russia,Russia & Caspian,Gas,Downstream gas,Downstream,Vapour recovery units,4.98,3.6
Brazil,Central and South America,Oil,Onshore conventional oil,Upstream,Replace with electric motor,51.65,3.63
Bangladesh,Asia Pacific,Gas,Downstream gas,Downstream,Downstream LDAR,9.69,3.65
Bangladesh,Asia Pacific,Oil,Downstream oil,Downstream,Downstream LDAR,0.01,3.65
Netherlands,Europe,Gas,Downstream gas,Downstream,Vapour recovery units,0.01,3.65
Pakistan,Asia Pacific,Oil,Downstream oil,Downstream,Downstream LDAR,0.05,3.65
Pakistan,Asia Pacific,Gas,Downstream gas,Downstream,Downstream LDAR,23.51,3.65
Niger,Africa,Gas,Offshore gas,Upstream,Replace with electric motor,2.37,3.65
Niger,Africa,Oil,Onshore conventional oil,Upstream,Replace with electric motor,2.37,3.65
Niger,Africa,Oil,Unconventional oil,Upstream,Replace with electric motor,2.37,3.65
Jordan,Middle East,Oil,Onshore conventional oil,Upstream,Replace with electric motor,1.13,3.66
Jordan,Middle East,Oil,Unconventional oil,Upstream,Replace with electric motor,1.13,3.66
Canada,North America,Oil,Unconventional oil,Upstream,Vapour recovery units,3.63,3.67
Canada,North America,Oil,Onshore conventional oil,Upstream,Vapour recovery units,28.57,3.67
Canada,North America,Oil,Downstream oil,Downstream,Vapour recovery units,0.18,3.67
South Africa,Africa,Gas,Downstream gas,Downstream,Downstream LDAR,0.81,3.67
South Africa,Africa,Oil,Downstream oil,Downstream,Downstream LDAR,0.01,3.67
Poland,Europe,Oil,Downstream oil,Downstream,Downstream LDAR,0.01,3.67
Poland,Europe,Gas,Downstream gas,Downstream,Downstream LDAR,2.4700000000000000,3.67
Ukraine,Europe,Oil,Downstream oil,Downstream,Downstream LDAR,0.01,3.67
Ukraine,Europe,Gas,Downstream gas,Downstream,Downstream LDAR,5.13,3.67
Egypt,Africa,Oil,Onshore conventional oil,Upstream,Replace with electric motor,121.95,3.68
South Africa,Africa,Gas,Offshore gas,Upstream,Install flares,0.55,3.69
France,Europe,Gas,Downstream gas,Downstream,Vapour recovery units,0.17,3.7200000000000000
Yemen,Middle East,Oil,Onshore conventional oil,Upstream,Replace with electric motor,49.46,3.7200000000000000
Ghana,Africa,Gas,Offshore gas,Upstream,Replace with electric motor,3.74,3.73
Turkmenistan,Russia & Caspian,Oil,Onshore conventional oil,Upstream,Replace with electric motor,187.58,3.73
Kuwait,Middle East,Oil,Onshore conventional oil,Upstream,Other,6.89,3.74
Saudi Arabia,Middle East,Oil,Onshore conventional oil,Upstream,Other,13.36,3.74
Oman,Middle East,Oil,Onshore conventional oil,Upstream,Other,3.45,3.74
United Arab Emirates,Middle East,Oil,Onshore conventional oil,Upstream,Other,4.74,3.74
Qatar,Middle East,Oil,Onshore conventional oil,Upstream,Other,2.15,3.75
Algeria,Africa,Oil,Onshore conventional oil,Upstream,Other,10.77,3.75
Libya,Africa,Oil,Onshore conventional oil,Upstream,Other,8.19,3.76
Ghana,Africa,Gas,Offshore gas,Upstream,Install flares,0.14,3.79
Egypt,Africa,Oil,Onshore conventional oil,Upstream,Other,1.72,3.81
Syria,Middle East,Oil,Onshore conventional oil,Upstream,Replace with electric motor,54.48,3.85
Indonesia,Asia Pacific,Oil,Onshore conventional oil,Upstream,Replace with electric motor,148.84,3.86
Libya,Africa,Oil,Onshore conventional oil,Upstream,Replace with electric motor,491.84,3.87
Ecuador,Central and South America,Oil,Onshore conventional oil,Upstream,Replace with electric motor,118.36,3.87
United States,North America,Oil,Offshore oil,Upstream,Upstream LDAR,3.66,3.87
United States,North America,Gas,Offshore gas,Upstream,Upstream LDAR,3.92,3.87
Equatorial Guinea,Africa,Oil,Onshore conventional oil,Upstream,Replace with electric motor,19.19,3.88
South Sudan,Africa,Oil,Onshore conventional oil,Upstream,Replace with electric motor,37.96,3.88
Sudan,Africa,Oil,Onshore conventional oil,Upstream,Replace with electric motor,23.26,3.88
Brazil,Central and South America,Oil,Downstream oil,Downstream,Downstream LDAR,0.1,3.91
Brazil,Central and South America,Gas,Downstream gas,Downstream,Downstream LDAR,11.28,3.91
United States,North America,Oil,Downstream oil,Downstream,Vapour recovery units,2.68,3.91
United States,North America,Oil,Onshore conventional oil,Upstream,Vapour recovery units,43.67,3.91
United States,North America,Oil,Unconventional oil,Upstream,Vapour recovery units,88.85,3.91
United Kingdom,Europe,Gas,Offshore gas,Upstream,Upstream LDAR,1.51,4.03
United Kingdom,Europe,Oil,Offshore oil,Upstream,Upstream LDAR,0.46,4.03
Tunisia,Africa,Oil,Onshore conventional oil,Upstream,Replace with electric motor,7.37,4.03
Italy,Europe,Gas,Offshore gas,Upstream,Upstream LDAR,0.15,4.04
Italy,Europe,Oil,Offshore oil,Upstream,Upstream LDAR,0.01,4.04
Ghana,Africa,Gas,Offshore gas,Upstream,Early replacement of devices,0.17,4.04
Ghana,Africa,Oil,Onshore conventional oil,Upstream,Early replacement of devices,0.17,4.04
Ghana,Africa,Oil,Unconventional oil,Upstream,Early replacement of devices,0.17,4.04
Indonesia,Asia Pacific,Gas,Downstream gas,Downstream,Other,19.4,4.08
Bangladesh,Asia Pacific,Gas,Downstream gas,Downstream,Other,11.39,4.1
Romania,Europe,Oil,Offshore oil,Upstream,Upstream LDAR,0.05,4.1
Romania,Europe,Gas,Offshore gas,Upstream,Upstream LDAR,0.38,4.1
Pakistan,Asia Pacific,Gas,Downstream gas,Downstream,Other,26.85,4.1
Other EU7 countries,Europe,Gas,Offshore gas,Upstream,Upstream LDAR,0.03,4.1
Other EU17 countries,Europe,Oil,Offshore oil,Upstream,Upstream LDAR,0,4.1
Other EU17 countries,Europe,Gas,Offshore gas,Upstream,Upstream LDAR,0.21,4.1
Democratic Republic of Congo,Africa,Oil,Downstream oil,Downstream,Vapour recovery units,0,4.12
Democratic Republic of Congo,Africa,Oil,Onshore conventional oil,Upstream,Vapour recovery units,0.26,4.12
Democratic Republic of Congo,Africa,Oil,Unconventional oil,Upstream,Vapour recovery units,0.26,4.12
Angola,Africa,Gas,Onshore conventional gas,Upstream,Vapour recovery units,0.09,4.15
Australia,Asia Pacific,Oil,Onshore conventional oil,Upstream,Replace with electric motor,23.06,4.18
Ghana,Africa,Oil,Unconventional oil,Upstream,Replace with electric motor,3.36,4.19
Ghana,Africa,Oil,Onshore conventional oil,Upstream,Replace with electric motor,3.36,4.19
Peru,Central and South America,Oil,Onshore conventional oil,Upstream,Replace with electric motor,14.73,4.2
Other countries in Europe,Europe,Gas,Downstream gas,Downstream,Downstream LDAR,3.88,4.21
Other countries in Europe,Europe,Oil,Downstream oil,Downstream,Downstream LDAR,0.01,4.21
Mexico,North America,Gas,Unconventional gas,Upstream,Vapour recovery units,0.01,4.23
Mexico,North America,Gas,Onshore conventional gas,Upstream,Vapour recovery units,0.64,4.23
Kazakhstan,Russia & Caspian,Oil,Onshore conventional oil,Upstream,Other,31.44,4.24
Bahrain,Middle East,Oil,Onshore conventional oil,Upstream,Replace with electric motor,34.05,4.24
Trinidad and Tobago,Central and South America,Gas,Downstream gas,Downstream,Vapour recovery units,0.11,4.24
Japan,Asia Pacific,Gas,Downstream gas,Downstream,Other,17.39,4.26
Norway,Europe,Gas,Offshore gas,Upstream,Upstream LDAR,0.64,4.31
Norway,Europe,Oil,Offshore oil,Upstream,Upstream LDAR,0.13,4.31
Russia,Russia & Caspian,Oil,Onshore conventional oil,Upstream,Replace with electric motor,2499.08,4.35
United States,North America,Oil,Downstream oil,Downstream,Downstream LDAR,2.23,4.37
United States,North America,Gas,Downstream gas,Downstream,Downstream LDAR,712.55,4.37
Venezuela,Central and South America,Oil,Onshore conventional oil,Upstream,Replace with electric motor,840.44,4.37
